ident,category,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code
GEML,medium_airport,Melilla Airport,35.27980042,-2.956259966,156,EU,ES,ES-ML,Melilla,GEML,MLN,
GEW,small_airport,Gewoia Airport,-9.2263,148.4949,340,OC,PG,PG-NPP,Gewoia,AYGC,GEW,GEW
GF-0001,small_airport,Kourou airport,5.173719883,-52.69150162,47,SA,GF,GF-CY,Kourou,,,
GF-0002,small_airport,Ouanary Airport,4.21009016,-51.66770172,40,SA,GF,GF-CY,Ouanary,,,
GFBN,medium_airport,Sherbro International Airport,7.532420158,-12.51889992,14,AF,SL,SL-S,Bonthe,GFBN,BTE,
GFBO,medium_airport,Bo Airport,7.944399834,-11.76099968,328,AF,SL,SL-S,Bo,GFBO,KBS,
GFD,small_airport,Pope Field,39.79029846,-85.73609924,895,NA,US,US-IN,Greenfield,KGFD,GFD,GFD
GFGK,small_airport,Gbangbatok Airport,7.767000198,-12.38300037,75,AF,SL,SL-S,Gbangbatok,GFGK,GBK,
GFHA,small_airport,Hastings Airport,8.397130013,-13.12909985,60,AF,SL,SL-W,Freetown,GFHA,HGS,
GFKB,small_airport,Kabala Airport,9.638322913,-11.51556015,1012,AF,SL,SL-N,Kabala,GFKB,KBA,
GFKE,medium_airport,Kenema Airport,7.891290188,-11.17660046,485,AF,SL,SL-E,Kenema,GFKE,KEN,
GFLL,medium_airport,Lungi International Airport,8.616439819,-13.19550037,84,AF,SL,SL-N,Freetown,GFLL,FNA,
GFTO,small_airport,Tongo Airport,8.217000008,-11.06700039,750,AF,SL,SL-E,Tongo,GFTO,,
GFYE,medium_airport,Yengema Airport,8.610469818,-11.04539967,1300,AF,SL,SL-E,Yengema,GFYE,WYE,
GG64,small_airport,Quebo Airport,11.53559971,-14.76229954,165,AF,GW,GW-TO,Quebo,GG64,,GG64
GGBF,small_airport,BafatÌÁ Airport,12.16666698,-14.66666698,0,AF,GW,GW-BA,BafatÌÁ,GGBF,,
GGBU,small_airport,Bubaque Airport,11.29735565,-15.83807945,0,AF,GW,GW-BL,Bubaque,GGBU,BQE,
GGCF,small_airport,Cufar Airport,11.28789997,-15.18050003,65,AF,GW,GW-TO,Cufar,GGCF,,
GGOV,medium_airport,Osvaldo Vieira International Airport,11.89480019,-15.65369987,129,AF,GW,GW-BS,Bissau,GGOV,OXB,
GHE,small_airport,GarachinÌ© Airport,8.0644,-78.3673,42,NA,PA,PA-5,GarachinÌ©,,GHE,
GIG,small_airport,Black Diamond/Flying R Ranch Airport,50.645,-114.203,4060,NA,CA,CA-AB,,CBD8,,
GL-0001,small_airport,NEEM Camp Skiway,79.45,-51.006,0,NA,GL,GL-U-A,,,,
GL-0002,small_airport,Gisp Ice Landing Strip,72.56666565,-38.46666718,0,NA,GL,GL-U-A,Summit Station,,,
GL-0003,small_airport,North Grip Ice Landingstrip,75.09999847,-42.31666565,0,NA,GL,GL-U-A,,,,
GL-0004,heliport,Raven Ice Landingstrip,66.31666565,-46.28333282,0,NA,GL,GL-U-A,,,,
GL-0005,small_airport,SÌüdalen Landingstrip,68.16666412,-31.51666641,0,NA,GL,GL-U-A,Sodalen,,,
GL-0006,small_airport,Summit Ice Landingstrip,72.6166687,-38.5,0,NA,GL,GL-U-A,,,,
GL-0007,heliport,Zackenberg,74.46666718,-20.60000038,0,NA,GL,GL-U-A,Zackenberg,,,
GL-JGR,heliport,Groennedal Heliport,61.23329926,-48.09999847,0,NA,GL,GL-U-A,Groennedal,GL-J,JGR,
GL-QCU,heliport,Akunaq Heliport,68.74427283,-52.34036922,59,NA,GL,GL-U-A,,BGAK,QCU,
GL-QFI,heliport,Iginniarfik Heliport,68.69999695,-52.96670151,0,NA,GL,GL-U-A,,GL-Q,,
GLBU,small_airport,Buchanan Airport,5.167650223,-9.283470154,41,AF,LR,LR-SI,Buchanan,GLBU,UCN,
GLCM,small_airport,Robertsport/Cape Mount Airport,6.800000191,-11.36699963,10,AF,LR,LR-CM,Robertsport/Cape Mount,GLCM,,
GLCP,small_airport,Cape Palmas Airport,4.379020214,-7.696949959,20,AF,LR,LR-MY,Harper,GLCP,CPA,
GLGE,small_airport,Greenville Sinoe Airport,5.034309864,-9.066800117,10,AF,LR,LR-SI,Greenville,GLGE,SNI,
GLLB,small_airport,Lamco Airport,5.867000103,-10.05000019,30,AF,LR,LR-GB,Buchanan,GLLB,UCN,
GLMR,medium_airport,Spriggs Payne Airport,6.289060116,-10.75870037,25,AF,LR,LR-MO,Monrovia,GLMR,MLW,
GLNA,small_airport,Nimba Airport,7.5,-8.600000381,1632,AF,LR,LR-NI,Nimba,GLNA,NIA,
GLP,small_airport,Gulgubip Airport,-5.2808,141.5411,4900,OC,PG,PG-WHM,Gulgubip,AYUP,GLP,GUP
GLRB,medium_airport,Roberts International Airport,6.233789921,-10.36229992,31,AF,LR,LR-MG,Monrovia,GLRB,ROB,
GLST,small_airport,Sasstown Airport,4.666666985,-8.433333397,6,AF,LR,LR-GK,Sasstown,GLST,SAZ,
GLTN,small_airport,Tchien Airport,6.045650482,-8.138723373,790,AF,LR,LR-GG,Tchien,GLTN,THC,
GLVA,small_airport,Voinjama Airport,8.399999619,-9.767000198,1400,AF,LR,LR-LO,Voinjama,GLVA,VOI,
GMAA,small_airport,Inezgane Airport,30.38139915,-9.546310425,89,AF,MA,MA-AGD,,GMAA,,
GMAD,medium_airport,Al Massira Airport,30.32500076,-9.413069725,250,AF,MA,MA-AGD,Agadir,GMAD,AGA,
GMAT,medium_airport,Tan Tan Airport,28.44820023,-11.16129971,653,AF,MA,MA-TNT,Tan Tan,GMAT,TTA,
GMAZ,small_airport,Zagora Airport,30.32029915,-5.866670132,2631,AF,MA,MA-TIZ,Zagora,GMAZ,OZG,
GMFA,small_airport,Ouezzane Airport,34.78329849,-5.633329868,571,AF,MA,MA-TET,Beni Malek,GMFA,,
GMFB,medium_airport,Bouarfa Airport,32.51430556,-1.983055556,3630,AF,MA,MA-FIG,Bouarfa,GMFB,UAR,
GMFF,medium_airport,SaÌøss Airport,33.9272995,-4.97796011,1900,AF,MA,MA-FES,Fes,GMFF,FEZ,
GMFI,small_airport,Ifrane Airport,33.50529861,-5.152900219,5459,AF,MA,MA-IFR,,GMFI,,
GMFK,medium_airport,Moulay Ali Cherif Airport,31.94750023,-4.398330212,3428,AF,MA,MA-ERR,Errachidia,GMFK,ERH,
GMFM,medium_airport,Bassatine Airport,33.8791008,-5.515120029,1890,AF,MA,MA-MEK,Meknes,GMFM,MEK,
GMFN,small_airport,Taouima Nador Airport,35.15000153,-2.917000055,10,AF,MA,MA-NAD,Nador,GMFN,,
GMFO,medium_airport,Angads Airport,34.78720093,-1.923990011,1535,AF,MA,MA-OUJ,Oujda,GMFO,OUD,
GMFU,small_airport,Fes Sefrou Airport,34.0080986,-4.965559959,1539,AF,MA,MA-FES,Fes,GMFU,,
GMFZ,small_airport,Taza Airport,34.23329926,-3.950000048,1890,AF,MA,MA-TAZ,Taza,GMFZ,,
GMMA,medium_airport,Smara Airport,26.73180008,-11.68470001,350,AF,EH,EH-U-A,Smara,GMMA,SMW,
GMMB,small_airport,Ben Slimane Airport,33.65539932,-7.221449852,627,AF,MA,MA-CAS,Ben Slimane,GMMB,GMD,
GMMC,closed,Anfa Airport,33.55329895,-7.661389828,200,AF,MA,MA-CAS,Casablanca,GMMC,CAS,
GMMD,small_airport,Beni Mellal Airport,32.40000153,-6.333330154,1670,AF,MA,MA-AZI,,GMMD,,
GMME,medium_airport,Rabat-SalÌ© Airport,34.05149841,-6.751520157,276,AF,MA,MA-RBA,Rabat,GMME,RBA,
GMMF,small_airport,Sidi Ifni Xx Airport,29.36669922,-10.18780041,190,AF,MA,MA-BAH,Sidi Ifni,GMMF,SII,
GMMH,medium_airport,Dakhla Airport,23.71829987,-15.93200016,36,AF,EH,EH-U-A,Dakhla,GMMH,VIL,
GMMI,small_airport,Mogador Airport,31.39749908,-9.681670189,384,AF,MA,MA-ESI,Essaouira,GMMI,ESU,
GMMJ,small_airport,El Jadida Airport,33.23329926,-8.516670227,92,AF,MA,MA-JDI,El Jadida,GMMJ,,
GMML,medium_airport,Hassan I Airport,27.15169907,-13.21920013,207,AF,EH,EH-U-A,El AaiÌ_n,GMML,EUN,
GMMN,large_airport,Mohammed V International Airport,33.36750031,-7.589970112,656,AF,MA,MA-CAS,Casablanca,GMMN,CMN,
GMMO,small_airport,Taroudant Airport,30.50169945,-8.827500343,869,AF,MA,MA-TAR,Taroudant,GMMO,,
GMMS,small_airport,Safi Airport,32.28329849,-9.233329773,171,AF,MA,MA-TIZ,Safi,GMMS,SFI,
GMMT,small_airport,Tit Mellil Airport,33.59749985,-7.465000153,322,AF,MA,MA-CAS,Casablanca,GMMT,,
GMMW,medium_airport,Nador International Airport,34.98880005,-3.028209925,574,AF,MA,MA-NAD,Nador,GMMW,NDR,
GMMX,medium_airport,Menara Airport,31.60689926,-8.036299706,1545,AF,MA,MA-MAR,Marrakech,GMMX,RAK,
GMMY,medium_airport,Kenitra Airport,34.2989006,-6.595880032,16,AF,MA,MA-KEN,,GMMY,NNA,
GMMZ,medium_airport,Ouarzazate Airport,30.93910027,-6.909430027,3782,AF,MA,MA-OUA,Ouarzazate,GMMZ,OZZ,
GMSL,small_airport,Sidi Slimane Airport,34.23059845,-6.050139904,179,AF,MA,MA-KEN,Sidi Slimane,GMSL,,
GMTA,medium_airport,Cherif Al Idrissi Airport,35.17710114,-3.839519978,95,AF,MA,MA-HOC,Al Hoceima,GMTA,AHU,
GMTN,medium_airport,Saniat Rmel Airport,35.59429932,-5.320020199,10,AF,MA,MA-TET,,GMTN,TTU,
GMTT,medium_airport,Ibn Batouta Airport,35.72689819,-5.916890144,62,AF,MA,MA-TNG,Tangier,GMTT,TNG,
GNI,seaplane_base,Grand Isle Seaplane Base,29.26269913,-89.9611969,0,NA,US,US-LA,Grand Isle,KGNI,,GNI
GNU,small_airport,Goodnews Airport,59.11740112,-161.5769959,15,NA,US,US-AK,Goodnews,GNU,GNU,GNU
GO66,small_airport,Dodji Airport,15.54389954,-14.95829964,66,AF,SN,SN-LG,Dodji,GO66,,GO66
GOC,small_airport,Gora Airstrip,-9.0021,148.2364,2497,OC,PG,PG-NPP,Gora,AYGX,GOC,GORA
GODK,small_airport,Kolda North Airport,12.89850044,-14.96809959,33,AF,SN,SN-KD,Kolda,GODK,KDA,GODK
GOGG,medium_airport,Ziguinchor Airport,12.55560017,-16.28179932,75,AF,SN,SN-ZG,Ziguinchor,GOGG,ZIG,
GOGS,medium_airport,Cap Skirring Airport,12.41020012,-16.74609947,52,AF,SN,SN-ZG,Cap Skirring,GOGS,CSK,
GOOK,medium_airport,Kaolack Airport,14.14690018,-16.05130005,26,AF,SN,SN-FK,Kaolack,GOOK,KLC,
GOOY,large_airport,LÌ©opold SÌ©dar Senghor International Airport,14.73970032,-17.49020004,85,AF,SN,SN-DK,Dakar,GOOY,DKR,
GOSM,medium_airport,Ouro Sogui Airport,15.59360027,-13.32279968,85,AF,SN,SN-SL,Matam,GOSM,MAX,
GOSP,small_airport,Podor Airport,16.68300056,-14.96700001,20,AF,SN,SN-SL,Podor,GOSP,POD,
GOSR,small_airport,Richard Toll Airport,16.43300056,-15.64999962,20,AF,SN,SN-SL,Richard Toll,GOSR,RDT,
GOSS,medium_airport,Saint Louis Airport,16.05080032,-16.46319962,9,AF,SN,SN-SL,Saint Louis,GOSS,XLS,
GOTB,medium_airport,Bakel Airport,14.84729958,-12.46829987,98,AF,SN,SN-TC,Bakel,GOTB,BXE,
GOTK,medium_airport,KÌ©dougou Airport,12.57229996,-12.22029972,584,AF,SN,SN-TC,KÌ©dougou,GOTK,KGG,
GOTS,small_airport,Simenti Airport,13.04679966,-13.29539967,171,AF,SN,SN-TC,Simenti,GOTS,SMY,
GOTT,medium_airport,Tambacounda Airport,13.73680019,-13.65310001,161,AF,SN,SN-TC,Tambacounda,GOTT,TUD,
GQNA,small_airport,Aioun el Atrouss Airport,16.7112999,-9.637880325,951,AF,MR,MR-02,Aioun El Atrouss,GQNA,AEO,
GQNB,small_airport,Boutilimit Airport,17.53300095,-14.68299961,121,AF,MR,MR-06,Boutilimit,GQNB,OTL,
GQNC,small_airport,Tichitt Airport,18.45000076,-9.517000198,561,AF,MR,MR-09,Tichitt,GQNC,THI,
GQND,small_airport,Tidjikja Airport,18.57010078,-11.42350006,1363,AF,MR,MR-09,Tidjikja,GQND,TIY,
GQNE,small_airport,Abbaye Airport,16.63331413,-14.20000076,66,AF,MR,MR-05,Boghe,GQNE,BGH,
GQNF,small_airport,Kiffa Airport,16.59000015,-11.40620041,424,AF,MR,MR-03,Kiffa,GQNF,KFA,
GQNH,small_airport,Timbedra Airport,16.2329998,-8.166999817,692,AF,MR,MR-01,Timbedra,GQNH,TMD,
GQNI,small_airport,NÌ©ma Airport,16.62199974,-7.316599846,751,AF,MR,MR-01,NÌ©ma,GQNI,EMN,
GQNJ,small_airport,Akjoujt Airport,19.73301697,-14.38324928,403,AF,MR,MR-12,Akjoujt,GQNJ,AJJ,
GQNK,small_airport,KaÌ©di Airport,16.15950012,-13.50759983,66,AF,MR,MR-04,KaÌ©di,GQNK,KED,
GQNL,small_airport,Letfotar Airport,17.75,-12.5,256,AF,MR,MR-05,Moudjeria,GQNL,MOM,
GQNM,small_airport,Dahara Airport,16.29999924,-8.050000191,722,AF,MR,MR-01,Timbreda,GQNM,,
GQNN,medium_airport,Nouakchott International Airport,18.09819984,-15.94849968,13,AF,MR,MR-NKC,Nouakchott,GQNN,NKC,
GQNS,small_airport,SÌ©libaby Airport,15.1796999,-12.20730019,219,AF,MR,MR-10,SÌ©libaby,GQNS,SEY,
GQNT,small_airport,Tamchakett Airport,17.2329998,-10.81700039,620,AF,MR,MR-02,Tamchakett,GQNT,THT,
GQPA,medium_airport,Atar International Airport,20.5067997,-13.04319954,734,AF,MR,MR-07,Atar,GQPA,ATR,
GQPF,small_airport,Fderik Airport,22.66699982,-12.7329998,961,AF,MR,MR-11,Fderik,GQPF,FGD,
GQPP,medium_airport,Nouadhibou International Airport,20.93309975,-17.03000069,24,AF,MR,MR-08,Nouadhibou,GQPP,NDB,
GQPT,small_airport,Bir Moghrein Airport,25.23670006,-11.58870029,1206,AF,MR,MR-11,Bir Moghrein,GQPT,,
GQPZ,small_airport,Tazadit Airport,22.75639915,-12.48359966,1129,AF,MR,MR-11,ZouÌ©rate,GQPZ,OUZ,
GR-0001,small_airport,Arnissa Airport,40.84095691,21.82605743,2071,EU,GR,GR-59,Edessa,,,
GR-0002,small_airport,Dhokimion Airport,38.61259842,21.39520073,154,EU,GR,GR-01,Agrinion,,,
GR-0003,small_airport,Florina Airport,40.80239868,21.43180084,2109,EU,GR,GR-63,Florina,,,
GR-0004,small_airport,Nea Kavala Polykastro Airport,40.9844017,22.62630081,76,EU,GR,GR-57,Nea Kavala,,,
GR-0005,small_airport,Spetsai Airport,37.34889984,23.25399971,1,EU,GR,GR-11,Spetsai,,JSS,
GR-0006,closed,Komotini,41.10897827,25.31970978,0,EU,GR,GR-73,,,,
GR-0007,closed,Polichnitos,39.08680725,26.19540596,0,EU,GR,GR-83,,,,
GRC,small_airport,Grand Cess Airport,4.571,-8.2076,28,AF,LR,LR-GK,Grand Cess,,GRC,
GSZ,small_airport,Granite Mountain Air Station,65.40209961,-161.2810059,1313,NA,US,US-AK,Granite Mountain,PAGZ,GMT,GSZ
GT-0001,small_airport,Chiquimula Airport,14.83092,-89.520938,1484,NA,GT,GT-CQ,Chiquimula,MGCQ,CIQ,
GT-0002,small_airport,Dos Lagunas Airport,17.61240005,-89.68840027,1057,NA,GT,GT-PE,Dos Lagunas,MGDL,DON,
GT-0003,small_airport,El Naranjo Airport,17.35280037,-90.15139771,387,NA,GT,GT-PE,El Naranjo,,ENJ,
GT-0004,small_airport,Paso Caballos Airport,17.26390076,-90.25630188,213,NA,GT,GT-PE,Paso Caballos,MGPC,PCG,
GT-0005,small_airport,Las Vegas Airport,15.66889954,-88.957901,28,NA,GT,GT-IZ,Rio Dulce,MGRD,LCF,
GT-0006,small_airport,El PetÌ©n Airport,17.22638893,-89.60500336,774,NA,GT,GT-PE,Tikal,,TKM,
GT-0007,small_airport,Uaxactun Airport,17.39388847,-89.63274384,573,NA,GT,GT-PE,Uaxactun,MGUX,UAX,
GT-0008,small_airport,SANTIAGO,14.60928029,-91.24419093,0,NA,GT,GT-SO,,,,
GT-0009,small_airport,Nebaj,15.4473101,-91.16214752,0,NA,GT,GT-QC,,,,
GT-0010,small_airport,Chajul,15.4772976,-91.0337019,0,NA,GT,GT-QC,,,,
GT-0011,closed,Barillas,15.80290753,-91.32273674,0,NA,GT,GT-HU,,,,
GT-0012,small_airport,Barillas upper,15.81628612,-91.2969017,5800,NA,GT,GT-HU,,,,
GT-0013,small_airport,San Luis Ixcan Valle Uno Candelaria,15.79894333,-91.08747482,0,NA,GT,GT-QC,,,,
GT-0014,small_airport,Rancho Pal,15.87515793,-91.14309311,0,NA,GT,GT-HU,,,,
GT-0015,small_airport,Xalbal,15.86921373,-90.99838257,0,NA,GT,GT-QC,,,,
GT-0016,small_airport,Flore del Norte Airport,16.02271581,-91.11137867,0,NA,GT,GT-QC,Flore del Norte,,,
GT-0017,small_airport,Los Angeles Airstrip,16.04366879,-91.06678963,0,NA,GT,GT-QC,Los Angeles,,,
GT-0018,small_airport,Cuarto Pueblo Airport,16.04012178,-90.97662449,0,NA,GT,GT-QC,Carto Pueblo,,,
GT-0019,small_airport,Ixquisis Airport,16.06222765,-91.41981125,0,NA,GT,GT-HU,Ixquisis,,,
GT-0020,small_airport,Nueva GeneraciÌ_n Maya Airport,15.98030817,-91.18000031,0,NA,GT,GT-HU,Nueva GeneraciÌ_n Maya,,,
GT-0021,small_airport,Jayabaj Airport,14.98929156,-90.79837561,0,NA,GT,GT-QC,Jayabaj,,,
GT-0022,small_airport,Zacualpa Airport,15.01551032,-90.89851856,0,NA,GT,GT-QC,Zacualpa,,,
GT-0023,small_airport,Canilla Airport,15.1700628,-90.85873604,0,NA,GT,GT-QC,Rio Seco,,,
GT-0024,small_airport,Uspantan Airport,15.34254737,-90.87272644,0,NA,GT,GT-QC,Uspantan,,,
GT-0025,small_airport,Xuctul Airport,15.81603838,-90.27568817,0,NA,GT,GT-AV,Xuctul,,,
GT-0026,small_airport,San Pedro Cotija Airport,15.70386197,-90.88834763,0,NA,GT,GT-QC,San Pedro Cotija,,,
GT-PKJ,small_airport,Playa Grande Airport,15.99750042,-90.74169922,577,NA,GT,GT-QC,Playa Grande,MGPG,PKJ,
GTZ,small_airport,Kirawira B Aerodrome,-2.160833333,34.22555556,3970,AF,TZ,TZ-13,Grumeti Game Reserve,,GTZ,
GUCY,medium_airport,Conakry Airport,9.57689,-13.612,72,AF,GN,GN-C,Conakry,GUCY,CKY,
GUE,small_airport,Guriaso (Keraso) Airport,-3.583167,141.5895,400,OC,PG,PG-SAN,Guriaso,,GUE,KSO
GUFA,medium_airport,Fria Airport,10.35060024,-13.56919956,499,AF,GN,GN-FR,,GUFA,FIG,
GUFH,medium_airport,Faranah Airport,10.03549957,-10.76980019,1476,AF,GN,GN-FA,,GUFH,FAA,
GUGO,small_airport,Gbenko Airport,9.246029854,-9.295140266,2133,AF,GN,GN-KS,Banankoro,GUGO,,
GUKR,small_airport,Kawass Airport,10.65100002,-14.53359985,36,AF,GN,GN-BK,Kawass,GUKR,,
GUKU,small_airport,Kissidougou Airport,9.160559654,-10.12440014,1808,AF,GN,GN-KS,Kissidougou,GUKU,KSI,
GULB,medium_airport,Labe Airport,11.32610035,-12.28680038,3396,AF,GN,GN-LA,,GULB,LEK,
GUMA,small_airport,Macenta Airport,8.481857022,-9.525070847,1690,AF,GN,GN-MC,Macenta,GUMA,MCA,
GUNZ,small_airport,Nzerekore Airport,7.806019306,-8.701797485,1657,AF,GN,GN-NZ,Nzerekore,GUNZ,NZE,
GUOK,small_airport,Boke Airport,10.96580029,-14.28110027,164,AF,GN,GN-BK,Boke,GUOK,BKJ,
GUSA,small_airport,Sangaredi Airport,11.11699963,-13.83300018,686,AF,GN,GN-BK,Sangaredi,GUSA,,
GUSB,small_airport,Sambailo Airport,12.57269955,-13.35849953,295,AF,GN,GN-KN,Koundara,GUSB,SBI,
GUSI,small_airport,Siguiri Airport,11.43299961,-9.166999817,1296,AF,GN,GN-SI,Siguiri,GUSI,GII,
GUXN,small_airport,Kankan Airport,10.39400005,-9.303799629,1234,AF,GN,GN-KA,Kankan,GUXN,KNN,
GVAC,medium_airport,AmÌ_lcar Cabral International Airport,16.74139977,-22.94939995,177,AF,CV,CV-B,Espargos,GVAC,SID,
GVAN,small_airport,Agostinho Neto Airport,17.20280075,-25.09059906,32,AF,CV,CV-B,Ponta do Sol,GVAN,NTO,
GVBA,medium_airport,Rabil Airport,16.1364994,-22.88890076,69,AF,CV,CV-B,Rabil,GVBA,BVC,
GVE,small_airport,Gordonsville Municipal Airport,38.15599823,-78.165802,454,NA,US,US-VA,Gordonsville,KGVE,GVE,GVE
